src_ip,dst_ip,src_port,dst_port,protocol,payload_hex,label
192.168.50.11,172.64.41.4,40972,443,6,170303009a67348eb608b6e2ff0a591f654098d6a4ad7763b20dc462e862609ba97bf6faeea8d89482b49ee8866918ebe8c65c15e9730a9abbaf10e1ac7fcc026976153161b01c4a5ffdc94fa1048ed8fc96d35288ba4ac84cdb4e1146f0b2e7ce9e23192f90b64f1969c9c3d9f1cec0322630fd0476b319d1defaaa8b4ab2d7,0
192.168.50.11,142.250.176.2,50253,443,17,7ee1a2c51c51c5bf6a0e90abf476de6a4f1b05db69f1425abbb0ae4685651ae9fa25d7af2e,0
192.168.24.49,100.50.135.229,27702,1024,17,7c30302030312038372038387c,1
3.169.245.200,192.168.50.11,443,50498,6,17030300ae9682f946ea470796ed2122849fc424a36c009ed4e27841a92f68db3b264a08453f209c740271c7ca0c577e5cae60846093d4d033b61a6d7c0eac487a94a112b901bafa270474a048b2dad28ac532920642bef03d58fd50b43e46cecb65067a646eb68558a090ab87c51f80eca03e41b2eeb64cba77eaac959e22b5,0
192.168.50.11,18.164.173.26,42596,443,6,,0
34.36.54.80,192.168.50.11,443,49584,6,,0
3.169.231.31,192.168.50.11,443,33734,6,170303401170d3850525e9d3f5bc7a0fbbf56f5f07c226e2b86104fc9c6be4b192303daaed6ac72c51d78292d4ad6c547a2c0c9105a899618655d61d3d96f158e99c99f128c6850e86a55d97c4ed0a59c09646b8efcb9661b57e51e38bb888e0d35524888c57b77d1523d8c05b2a5416f04f76944f9e1615d00f946160667c2a,0
192.168.50.11,172.64.41.4,44258,443,6,,0
192.168.241.88,216.53.14.224,7044,4080,6,2f2e2e2f2e2e2f,1
192.168.50.11,188.40.16.220,57230,443,6,170303001374c5ee9a7efe3a15f1a6d8569e38fb8947e3a3,0
172.217.14.66,192.168.50.11,443,37528,6,16030304ba020004b6030320a11a72c08bc7fba78fb3199dd3de84da5489a29aea39065444e29408382dab2001ecef24a5a6ca6c56e0b63c67c57a87c12f86d52b10396598ec0f494a498e01130100046e0033046411ec0460aac4a786565764589176c15f2ef33ee33a43495f7c4fb636f1d7b2bc051311b26f33ba2b2dcd5c,0
192.168.50.11,67.202.105.31,54270,443,6,,0
192.168.19.190,97.112.201.132,40142,25,6,53414d4c2046524f4d7c33417c,1
151.101.2.114,192.168.50.11,443,49164,6,,0
192.168.29.157,60.85.44.70,67,68,17,2829207b,1
192.168.123.46,146.234.226.174,21314,751,6,7c30302043302030352030382030302043302030352030382030302043302030352030382030302043302030352030387c,1
192.168.50.11,192.168.50.1,55693,53,17,3f0c010000010000000000010367756d08616964656d73727603636f6d00001c000100002905c0000000000000,0
192.168.50.11,172.64.41.4,44258,443,6,1703030033fc5c1cdbc90592cb8abaa1217f56c2d20fa430d00026b7ed3695d47eb7f5ff1f4d052f7d3e48670514aeeca6e49793ed89f26b,0
192.168.50.11,72.247.234.254,47746,80,6,,0
142.250.176.2,192.168.50.11,443,58302,6,,0
34.36.200.111,192.168.50.11,443,51517,17,c1000000010376e13c08e8132a889bfe3f9a004075884253463f001f24232f359ebb3b406d1ac872756e9d77a111f0ecf91851f556772ead111fbe14875109398d10918ba5b745db9069742f47a95a2ad8e6277ebef898ea3da714a9024abe195f143eb5e1b72465d0876eec7520bfe0172c8a596db07afd2aaf485f5f9eb825,0
216.137.39.93,192.168.50.11,443,38082,6,1703030e735209f2861aa1621afd6ac4f6c8e4c0f910cad7403ff368955f59c12d5d6534b4d753b983ae752d847372ea8803344bdc83f82405e2f9cd8b8fe4c12d588b4ce471d569a17fce016a10b95ce875b3545790d15e0325d5db4a0188bc144eda639efc69a41abb94a39adf6c507c27e7bab05774f81058a885eb4be2bc,0
172.64.41.4,192.168.50.11,443,55442,6,1703030039cdfcb0576af6ef489d9d816f260cbd48f0d4b0f4aa6654ed51039b2134ae53b9557caae41cee8d8d136e102655b01fa8d1b76b3829430b54eb,0
192.168.50.11,18.65.25.87,33540,443,6,,0
192.168.50.11,67.202.105.22,39216,443,6,,0
172.64.41.4,192.168.50.11,443,58420,6,,0
192.168.50.11,35.244.154.8,39780,443,6,,0
80.77.84.96,192.168.50.11,443,50840,6,15030300303de1c5c0b872e7dfa6c4233e5fae75b2c17684f15e14e6bc587ff6be4cbfb8d8e15a11312851a16c17f471cc50de2d5a,0
192.168.50.11,23.55.219.177,49846,80,6,504f5354202f20485454502f312e310d0a486f73743a206f6373702e64696769636572742e636f6d0d0a557365722d4167656e743a204d6f7a696c6c612f352e3020285831313b205562756e74753b204c696e7578207838365f36343b2072763a3133342e3029204765636b6f2f32303130303130312046697265666f782f31,0
192.168.50.11,72.246.244.179,59814,443,6,,0
192.168.86.224,207.3.135.147,6954,25,6,504b3030504b7c30332030347c,1
192.168.50.11,172.64.41.4,44258,443,6,1703030033e11fd9e1d69d75d430c13e09de7c9a160416dd5be10d837e4f385cd3a8049f2d470b045e4e88f2b7b5e8e38df0a6531120fc8a,0
192.168.50.11,38.71.2.199,60476,443,6,1603010767010007630303a481b37fa4b4904637cb31ca4e0fd533fb527fe82da96155d01485bba754301620fe7f32b1550999df16e112dc2a390e413c8e0df522cb2c815165eaa54ca0d0e60022130113031302c02bc02fcca9cca8c02cc030c00ac009c013c014009c009d002f0035010006f8000000180016000013616473,0
23.62.176.23,192.168.50.11,443,53586,6,,0
192.168.50.11,150.171.28.10,33988,443,6,1703030057c194f6e092e84c27f55360279a55b0fb828efd05f203c31fa3aae60857d8d665365a61cde1ff1a2a0fc8c3d15625dd8e60026ff6938954eefed9f37f390e5741604c2a19a2dd1346074fcea420a8ac45b3a1ff19a5f673,0
192.168.50.11,104.254.150.241,37170,443,6,,0
192.168.50.11,34.120.208.123,35582,443,6,,0
80.77.84.96,192.168.50.11,443,50832,6,,0
192.168.195.252,86.169.179.84,47115,16911,1,6d616c6963696f75735f7061796c6f6164,1
172.64.41.4,192.168.50.11,443,60274,6,17030300378053abdeefffce4e50ae5ac6133fd86cde1d516f3df0a19455c20c40cd9c22de181ea1d536ebba3578cdfc2d11cec6a13a641691ff831c,0
192.168.50.11,70.42.32.191,49998,443,6,,0
35.212.212.222,192.168.50.11,443,36402,6,17030302273fd54aef9a9057b0d2b89a87cc13c814dc0684fb8ae871c37814049ccf443028e19baf0569917480bdf1106711fcd8a53592bf74317bc01b91c1a60369dd0ac0d4642be79f14c3dcd02939061a893eb57484a87df0421d33f5bcdf880e688b0ee410d9afee05a337a5918914dcd3fc48e619f4febab47b7fc4885f,0
192.168.50.11,173.194.12.135,36986,443,6,,0
172.64.41.4,192.168.50.11,443,44258,6,1703030033f140b40363af22617b2c7a4699a77c22144fd8f591869447a36d13f075fc6c5d768367ecb0c4c34217f83151d30d90c98e35d6,0
173.194.12.135,192.168.50.11,443,36986,6,fa5764ca80c98180b5017540fa4e8384e641a5934525c9d76c6ed4fdf82dcef1d1a399ef597349e963e3aa4db16196dd5b9db11737ee9a4d0e26e6abde22a2ef03fb1827de1ac39aa3948cc19dd2c1eb9a1f9a8ac34190bc1163f16d044e47479e5c7aef181df0566642eaa1cffb6d98ad310c7146a4149e9b728b6b8c8c57d7,0
192.168.50.11,172.240.35.20,40304,443,6,16030107680100076403030e77ce1e29fc8102ad32ce5dee53912c9711d6b0c1bde36a57c11045c488699f2068dfadcbf4f071732052207d6bbe4f7b1223f9a96a270a74cb8c9ce1a52d96350022130113031302c02bc02fcca9cca8c02cc030c00ac009c013c014009c009d002f0035010006f900000019001700001473796e,0
172.64.41.4,192.168.50.11,443,55472,6,1703030033de7cafeabdd2736f0608eccd5c67ac541f8fa279c79265e4e0be478fcc7d55c4a8352be72e3f81927e10045a313cb0586e4cee,0
192.168.50.11,172.217.14.110,34982,443,6,,0
192.168.50.11,69.194.240.13,43464,443,6,,0
151.101.2.114,192.168.50.11,443,49164,6,,0
192.168.50.11,142.250.68.66,38960,443,6,,0
192.168.50.11,104.254.150.241,51812,443,6,,0
192.168.50.11,172.64.41.4,44258,443,6,,0
216.137.39.93,192.168.50.11,443,38082,6,1703030f3439e7ba5d5236d4df8321404ea3bae58a2671d91bbc64a2640ace760c71cab33db43f780b2709d57d0350fc277191147c41010d6b1df85d943c5f6b923636226863a9038c772261b72b98580f8a3db1b9ce7a15dbae755192b562d38416a2dd2d7cfe0413a0d8102b311c9fc65e2d10440c58736adadc0d2741e1d1,0
192.168.50.11,69.173.154.8,36036,443,6,,0
192.168.50.11,142.250.176.6,41362,443,6,140303000101,0
192.168.50.11,107.178.254.65,40986,443,17,5fe41d735c1c2805a0c748a30b7d6fcd4f110822482ff0d5f72baf35d83725d1b8aeb4ee0327700b656e05a50b9f06c230be468aec3c98715525f69e75c6d9f453dffb88c6f77295617c5b9780e487da01f86514cf680ae180,0
192.168.50.11,142.250.72.130,57894,443,6,,0
23.55.219.177,192.168.50.11,80,37932,6,485454502f312e3120323030204f4b0d0a436f6e74656e742d547970653a206170706c69636174696f6e2f6f6373702d726573706f6e73650d0a436f6e74656e742d4c656e6774683a203437310d0a43616368652d436f6e74726f6c3a206d61782d6167653d333536380d0a457870697265733a205765642c203134204d6179,0
192.168.50.11,3.169.234.208,45850,443,6,17030301845706b8c2ade327f4c02530962a78bd5886eff789cf45c490cb600912ce8360419828b098eae57154d7dd492612aa8f2053802b4ad217f2a30282631d98ba38345af635d3610ec99bb9d6d14442436b41d94ed36eaf086b8063c6c88b8981698e1f1cb6c07f2e4907254574d2b54adae3b208ca14df779ab1773596,0
142.250.176.2,192.168.50.11,443,58298,6,17030305736ea853148d02d956d264d6fd560edc5b487ffd20f918b0b6def561d5ba2942ab04456a9a00088c77c8f4b8ed6a42a91199a5cb437735bc32297812d6e724cac0155ae47c561970532633873e7309cef4af2a7a67eb987a5f52b99e3ee51e72f110375f22ec85338a4dba15f87e93eea96d2e0999c5b5eda0bcb47c,0
192.168.50.11,104.18.34.222,38868,443,6,,0
192.168.50.11,172.64.41.4,60274,443,6,,0
192.168.50.11,80.77.84.96,50840,443,6,,0
192.168.50.11,216.137.39.8,56212,443,6,1703030022e831be01f74e614818235aaa58f7d89409d06399d657ea23c3b1d9c5b595b2556eb7,0
192.168.50.11,52.9.65.126,55724,443,6,140303000101170303003589a89c88f4981de0308c02d901122acf755985d7755e380bd5fe4b5cb90e852e53e671184c56db9f7afe867b35a5773def12ea2c3b,0
142.250.176.6,192.168.50.11,443,41362,6,,0
192.168.50.11,204.237.133.116,59318,443,6,,0
192.168.232.162,81.221.50.34,63039,7001,6,2f77735f7574632f7265736f75726365732f73657474696e672f6b657973746f7265,1
192.168.50.11,150.171.22.12,53678,443,6,17030300577c232eae5e4b1085667be498a80b239a8cbd57e7a9d0747b7b63f6bc14767918dbf6e032d54a1633fd2339f3803f4445a6d3441c13bba4bda827e71d947a494025c3b37050b16aee214d37b3d075409a0765157897355b,0
172.64.41.4,192.168.50.11,443,44258,6,17030301ee79c7098332de428bf0b7fed3768e41728d836d5188f43dd1a6dbf0f37498c4b33e53fb4d570a8b6741aef50142a07475a4e98d6ca86bba272cba50240d90294960c8e28507b2f438cd5834da14d9498c54cbef650dd8baa38cb01f0fc0b1c88be0b9b424101d6cc3cdd19bf4d59a16a575d748bacad7f4a5773b1e,0
67.202.105.22,192.168.50.11,443,52644,6,17030300227a64cf2fd2194ad57f59c911f8dba9d2dc4aebc8c0e90c0f4b464d8f019937c01ae5,0
35.212.192.196,192.168.50.11,443,40778,6,8c4e4b4e1b1deb4b54c4553753f3fb6eb88f849a0e10eba4067dfa14a1ef8e98811b53f837eb260fdda774ea908efcdf174f22fade79b595efd23a9ac208a607fc967b91f770f3c62d1d0b55d8d36c0746411923f0ea064e7726b4d90dc00943d4eb344d8d9a1f0430c08ac03ed73fb2ed42f4e81810b12b58f89d8b2feffe15,0
192.168.22.59,32.144.127.140,38434,26695,6,6d616c6963696f75735f7061796c6f6164,1
192.168.50.11,172.64.41.4,44258,443,6,170303009a4bf5e98b1d30c0a1e19fe794cbfd1b5d59c274e380cc547b599b14729637ecd2980666bbd9990a156737f425e9cb18f2b3baf25b93cfbfe8185fb272d1a45ccab2003a370153224bd3d52bd7891efbadbf613859a6cca2202831e0262b6a9c412502b3e3fe39a611972e429e81f657501258a062bb46b5e85441bb,0
192.168.50.11,52.217.195.56,53492,443,6,,0
192.168.50.11,172.64.41.4,60268,443,6,,0
172.64.41.4,192.168.50.11,443,44258,6,170303001e055350cdbd4225447e7eafcd05315841b533fc08bbc795c51d8687d70e43,0
184.29.57.182,192.168.50.11,80,39666,6,485454502f312e3120323030204f4b0d0a5365727665723a206e67696e780d0a436f6e74656e742d547970653a206170706c69636174696f6e2f6f6373702d726573706f6e73650d0a436f6e74656e742d4c656e6774683a203334360d0a455461673a2022383636454435463537343435393034353745384345434642363639,0
142.250.217.150,192.168.50.11,443,41276,6,1703030573c1a58ba9483b4efc73234b9f7dc6d34fc48bfca2f1444862574551d934343480406086aa85cabdd20d0f6fa8d67a1a88c52fdee4a770f69fa833957ab7acd7b7c84c58ac64dfa2ae83e586430794f4bceff78ec816b1ec880b869232bc7d8e6f196711d9a3775bd40f5ccfd44d1d5771140101b60e5cdf1bd0a1a4,0
172.64.41.4,192.168.50.11,443,60274,6,,0
192.168.50.11,44.212.89.30,53598,443,6,,0
192.168.50.11,151.101.2.114,36009,443,17,57a16b18dd1556e50a221d751419e3070342d102317e3bad31856e454470791e0e9550c3962dc8b98972319f0927534f6a6251837c58310f6d6cabc80e741014dd50cec70fe53f0e8d773d,0
173.194.12.135,192.168.50.11,443,54889,17,5436addfcf37ffbb53fbf8729cdfdb6872dc61681ae20b01a9ece3d912350d60b82e098f1cdbb70a39863f77eb2fd7c625ab4b2a30e92734a18a1afc670d3325bf99c5092909e36be8c705eb1be4b3c7a4406cbe6e6881b5fc6fbe7da1e0f07d8fb923de2adc40d72dd1042b52756af05b026cc3ebbbe6c953747439b4e3cbcc,0
192.168.50.11,142.250.72.150,37880,443,6,,0
104.254.150.241,192.168.50.11,443,33008,6,17030302b31d4acd6fe696f45c80c27f0f8caf97950547dbfecfa2ccd98b1c5938244222cfdc5ae976a14931d11dbe0e18c90a526966efb1dc601153f3fafef678b4f88193a3ba003735bd9c45da20caf0af2341a3ee1d8f01943dee091bebea0181d442a773a895db1d3b9a7059b9ae51fe2a8bcf502b14e564a0c09a2fd3c8,0
198.206.157.239,192.168.50.11,443,60128,6,1703030132726f9ca87448f679c398fb4b743f105686a3ff5b87c5b0191a552457da9faa34d099974ce672bcd88f7183e2301650d4835993d3ea856723b033118d263003cd9e4f0023971bf5c4ff811bf5a99e6a76a5e2114781b4f7e9b5f2ec0108645e72467815080b2e1b7b719b0f18a8d3692d3a17e96497fd5392e46fa6,0
184.28.81.137,192.168.50.11,443,60352,6,17030300220f88a4a6507688030d291871e0678675772cc29a025f974935df14db7068332d68d3,0
192.168.71.178,183.211.140.170,46404,23432,6,525153,1
67.202.105.31,192.168.50.11,443,54274,6,160303007a0200007603039b83e10d9cbe9eed1828fd848ce8f70995f5c8a44e40a329f1a447dc01dfb1ab20359bf58c51d801f01699b9370a143cda42ca0b839d61de72bc2fef6d06950c09130200002e002b0002030400330024001d002070682ca35f886f4e017e6d20f2a4af8b856a2dcef94e55716956b55e3142dc5b14,0
192.168.50.11,142.250.72.162,38688,443,6,,0
192.168.50.11,72.247.234.254,47754,80,6,,0
192.168.50.11,172.64.149.23,36486,80,6,,0
104.18.27.193,192.168.50.11,443,51978,6,16030304ba020004b6030377cdd3ad8b9dedc4631c44575bb8da20e574b7953f50c614532fde7dcd74463d20448a0cb69642da0df7ddef42d9f094ef14b3b7c875a28911f93d4f108841fe5f130100046e0033046411ec0460368504eef7690d5d8bb2cf664cce2dc10b16afc177f7bfb9f2226700bd3f6cb0a675efbd645aae,0
192.168.225.1,79.71.131.7,22355,111,17,7c30302030312038362041307c,1
52.217.195.56,192.168.50.11,443,53514,6,,0
192.168.50.11,34.224.66.164,47224,443,6,,0
192.168.32.162,39.254.235.143,23692,110,6,7c45382044392046462046462046467c2f62696e2f7368,1
3.163.125.35,192.168.50.11,443,56364,6,,0
192.168.50.11,142.250.72.150,37880,443,6,,0
151.101.130.217,192.168.50.11,443,39470,6,53058de22a35cbefd03c53f4267ab7d4105bb0191adad2214c4233286daf231cbdf052c33a92bc66ed9a588c6ff93a74538ade5a2e580d60e71c5325043160d420999377879e94e90a0f024209527dc6085b394fe5c3c4ea18085df22da00b2dd88a164e90a076203fc273a5a62f69c6fb2fd6ac3bdc9a4c8bb305649e45a545,0
18.164.173.26,192.168.50.11,443,42596,6,5877bbcd75338d5831b030df69f3a02573da00a3385e0ac7e758da8a0ea7a8745c747572378066450cdeb33c2296130d409bb9fd5e78d33c797da7b1427414ae9027dee5ba95d0fd9d478c466887008e24d52fdd672c1fa5ff4cc93ea1ee399bf9013ea4829bdf7be6acd5e36739923fac43019828a9d04c4678a9cc2b332a82,0
192.168.50.11,23.105.12.158,58858,443,6,16030107740100077003036c5307a22b1ebe62b51cd6e2cf1e251bf7d0757b3112ecd2f27dcdd786712d1920c61920c2ed0bc92be0fcd2b483a1c6e1d8a81d98c9dbc7998b08d5ac32a3d0e90022130113031302c02bc02fcca9cca8c02cc030c00ac009c013c014009c009d002f003501000705000000250023000020737362,0
3.169.231.12,192.168.50.11,443,48520,6,,0
192.168.50.11,34.120.208.123,35582,443,6,1703030022ff298fd28526bbd49bf510f31c1fd66c2706377c8bc2e8569a11c3f70a86ac11221c,0
173.194.12.135,192.168.50.11,443,36986,6,,0
172.64.41.4,192.168.50.11,443,40972,6,1703030033a535562a6325c2e90b8b6bc425501f3f960c48d7f4f20cc508ea378b7b5c2bde686d9192515a9b3009581ac7095c48db71a757,0
172.64.41.4,192.168.50.11,443,44258,6,,0
192.168.50.11,172.67.69.191,57130,443,6,,0
192.168.50.11,142.250.217.131,36662,80,6,,0
172.64.41.4,192.168.50.11,443,44258,6,17030301eedffd106abaa3c69196be408fdea0ff0fbb6c804c3f3a3f1f9c91e7f0754ed82756297a9a194bfeaaf00407e570e7e1b1862ffaa58382878267afe5c1f645ddeb020631926a2544d07be6b1735fb3c709b21ead3a445d95d19340c419db419b3226ca3a084b50a90d73d46b509e2fb9effc63ad8d7e76119dd8f7d0,0
142.250.72.170,192.168.50.11,443,47504,6,17030300b08f65a7c85846a7a70aaebd30149f8c0a392942660c4cda31fe93ef73f306ea78b78f5c52695403517106134f6ca1cb9d64de056a0be002bd1707ad6690b14721e061b63cb9fd937b342313608470c5d6350dc09ba322f785fd96212262f7afb0ddeecb8bb6556485258d04fb6dfd3b32583f5730ab620e7705a142,0
192.168.50.11,23.66.3.82,56034,443,6,,0
35.212.192.196,192.168.50.11,443,38018,6,160303007a0200007603037c8a00c95e6434219fac36af8f6b3130a84a2dbdd83ca543ce1e5d5b628f3aaf20259c03e7c02f878e7e3cf336e4e7bd8cbc02ec0f12574248b47f1ca10cc933b9130100002e002b0002030400330024001d00202c19755ce383e5ab76b8b30c00690c263442dfa5da16dbd7bfdc70516e0e451714,0
34.120.237.76,192.168.50.11,443,41474,6,,0
192.168.50.11,184.29.57.182,39674,80,6,,0
192.168.50.11,35.212.192.196,38028,443,6,,0
192.168.50.11,142.250.68.66,38960,443,6,,0
104.18.34.222,192.168.50.11,443,38868,6,,0
192.168.20.214,91.47.153.237,5954,1433,6,487c30307c257c30307c787c30307c777c30302039302030302039302030302039302030302039302030302039302030307c337c30302043302030307c507c30307c687c30307c2e7c30307c,1
192.168.50.11,150.171.27.10,36536,443,6,,0
173.194.12.135,192.168.50.11,443,48494,6,,0
192.168.50.11,142.250.176.6,41362,443,6,,0
172.64.41.4,192.168.50.11,443,60274,6,17030301eeb7d1fc1fe74f698e42eccea7b0245908a1d3ece7e337839e4c6205dc1aa66d3ea0cb0fe1d9fa18fd44a63a4d7c031ccd4962f3e25366861d04993196cef70a2f5faa08d5b0b949fbcc2e3dd0dc157ac1aa468d9e49192cbec70f077b5b541689025ccb4e6257e6102bdc970518bedade68007eea9fd13e00930373,0
192.168.247.93,107.61.193.83,37443,3632,6,444953543030303030303031,1
142.250.72.168,192.168.50.11,443,43802,6,1703030573ab52ee1fa2beb16afdc7ac2b0ab1dd399c744d8586ab31e4e6d4fa7ba7fc42917a0d232fc3fd9bb6d598d69f15ad2076e49a4fcdca0c9a5505f79e9364e62fc2349476f1564fcdbd6d01963320aabf979ce84243f5a3e59f1f337ae3bbb315b1034461eb28d4f2359fc27fac43132a56e6a3fb043555e7abb1361f,0
192.168.212.78,165.189.93.251,1433,65368,6,4c7c30307c6f7c30307c677c30307c697c30307c6e7c30307c207c30307c667c30307c617c30307c697c30307c6c7c30307c657c30307c647c30307c207c30307c667c30307c6f7c30307c727c30307c207c30307c757c30307c737c30307c657c30307c727c30307c207c30307c277c30307c737c30307c617c30307c277c30307c,1
173.194.12.135,192.168.50.11,443,54889,17,5636addf906a0d672c4e10552d6dfce030f26967286791bc86901c27b988ea5211df66818fb7c24880f57068e088b2b5ab3a8e078db4d078e8317fb5ad7d51969d73ed463596aa41dd2d78124bb32c38fa9c792d3b35aa7c98c6e9e4f6a92f7ad6fe6a58e9b7a0c7425c71b38c796e22d7d9b5ade8d8c194ef890dc7bd554124,0
172.64.41.4,192.168.50.11,443,44258,6,17030301ee8412fe5c2cc45a6e9f26230ca212b3e951cb2d0bf454005d409f9093e8f1fff16184e93e84df708b93e3486cf972c9c0532b575316bfe8ff459580cb96f1a2864b8bd622c2d2235bd10609d70defb78c5663bec66f208a64664db3297f8f053c922fcae2bb482b498faae93e8b30161c4e2d9836faa7e5c888aceb,0
192.168.50.11,34.117.239.71,43174,443,17,61e61648ca14a417d2314e75a573356af2340a67495ea5d3edd2aa19a368e5d8171dff9b9d3c439e75f2248de8a09d61428726ce9d7e4ccf80e9f64c695acf482756496303,0
192.168.50.11,173.194.12.135,48494,443,6,,0
192.168.50.11,142.250.189.3,59906,443,6,170303005fb58ee6b619b7d36c279d3751716711d8b147fc2b7cbf8114776534f56eeac4a99b5544107345c4b70b0a2b8cfd33307f41c3a718bb55ffcdb19479ba96ca2ac5cdb22ed151d07326c224f69ebb992c6587aa9d46f345d1c49a36fdbb33e5d0,0
131.153.13.100,192.168.50.11,443,47292,6,,0
172.217.14.110,192.168.50.11,443,34982,6,,0
34.36.137.203,192.168.50.11,443,42606,6,,0
192.168.50.11,23.66.3.69,54202,443,6,1403030001011703030045b7087884d8804aa8cef17097690a574aea311e0ebb283f45ae9dc355ed6a69025388c07ff4dedaa84c436f25368f2d118dc76d633004d9dda96b53d8063e010c696223de8d,0
151.101.2.114,192.168.50.11,443,49204,6,4af4c2924268be58a2f16c04d75a16f2b571fc1ad4659d5d3d090fe3af3d9cdffe4c4d118ad2c02c4629ade200c860672d207d42441bc84e05c5cf84bce928fbddd4bf89e41232fd980c50d166b23d96cbb092e761f100c2493cecc640efa2712760dc10f850a4a64f689527b3453c7c80806ad88f28f5569114c09d24549908,0
192.168.50.11,13.226.223.188,48698,80,6,504f5354202f20485454502f312e310d0a486f73743a206f6373702e72326d30322e616d617a6f6e74727573742e636f6d0d0a557365722d4167656e743a204d6f7a696c6c612f352e3020285831313b205562756e74753b204c696e7578207838365f36343b2072763a3133342e3029204765636b6f2f323031303031303120,0
150.171.28.10,192.168.50.11,443,58542,6,000000000000,0
192.168.50.11,44.237.175.40,39372,443,6,,0
72.247.234.254,192.168.50.11,80,47746,6,,0
192.168.50.11,172.217.14.110,34982,443,6,,0
192.168.50.11,34.107.165.188,58482,443,6,,0
192.168.50.11,35.212.192.196,40778,443,6,,0
172.64.41.4,192.168.50.11,443,44258,6,1703030033bb1d9ce21aee5869ea470da1966ff7b7c3204ea7e390dcf935e5b87e1d8abfd81f88fa5929e825e6533ec34d0b8f7e93b8edb3,0
192.168.50.11,172.64.41.4,44258,443,6,,0
162.19.138.116,192.168.50.11,443,49712,6,e7fe9d2ea452190872a59424a7fc2f1f08d6f5c3d18f79d91dbcb67cf0eedea48f42add700aac98c34022dcec7f79257a52f2cf4ecd4b8eaf2d25cef8a4136924b7e6ab6e2657c7909a33b84cfe434cc2bbfa224a48e97510dae0f791b88d0cf08c2d5e1899d024e6a40878d8c3a5f130aac47d32a48961f551e6382ec1cbbff,0
192.168.50.11,142.250.217.131,42686,443,6,,0
172.64.41.4,192.168.50.11,443,55426,6,17030301eec09f11358ac6707c50b828477396d220eb195a9d6c8dd9145bdea463e6e35e50c97327e37d0dc1e69e21970003c7a1dc1911da59065c1568f983c9511f5505b180cbc52b1fd10e0258d254ea16146bf22268d9a46a79d4d3a68dde9db06f6e825e0de2a92f54679585046430275321662c9c0a0fb61ca95d9d0d72,0
