protocol,src_ip,dst_ip,src_port,dst_port,label
tcp,92.221.134.129,37.25.133.238,10196,5001,normal
tcp,58.1.37.62,36.79.47.87,17816,22,malicious
udp,10.18.188.143,10.100.195.3,22097,39852,normal
udp,10.131.65.29,243.189.147.77,28717,5000,normal
tcp,192.168.86.82,198.230.186.236,28174,8000,normal
icmp,34.82.223.53,10.204.154.25,0,0,normal
udp,192.168.155.174,10.206.79.32,270,53,normal
tcp,14.196.246.43,192.168.254.23,38732,53,normal
icmp,172.27.61.58,192.168.249.40,0,0,normal
udp,10.221.31.126,10.144.4.125,26543,3389,malicious
tcp,192.168.148.39,189.79.193.194,27839,593,malicious
tcp,21.151.120.89,172.30.166.123,30861,8080,malicious
icmp,192.168.31.184,192.168.107.135,0,0,normal
tcp,192.168.213.210,172.25.13.170,9950,45356,normal
udp,222.186.30.11,172.25.89.111,24307,6704,malicious
icmp,152.246.170.5,10.129.11.242,0,0,normal
tcp,89.248.167.131,10.133.197.211,61150,28871,malicious
icmp,48.250.133.158,192.168.24.210,0,0,normal
udp,192.168.128.79,176.131.9.79,57975,25,normal
icmp,192.168.243.32,192.168.186.63,0,0,normal
tcp,10.96.164.216,192.168.163.42,65123,11192,normal
tcp,207.198.143.0,213.120.190.11,45671,443,normal
udp,192.168.7.14,172.19.119.185,29588,9000,normal
udp,10.38.81.252,172.24.15.177,21710,5000,normal
udp,10.143.36.5,143.195.34.227,35337,80,normal
udp,91.240.118.129,10.10.236.146,13226,35541,malicious
tcp,192.168.143.63,172.27.14.253,45835,8888,normal
tcp,14.65.123.28,192.168.143.20,60514,68,normal
icmp,172.19.10.4,92.41.63.46,0,0,normal
udp,36.92.19.49,172.22.74.195,32438,993,normal
tcp,185.220.101.4,241.243.39.66,26690,30485,malicious
udp,94.76.165.232,120.0.10.255,12278,8000,normal
udp,172.28.108.65,192.168.161.234,36694,8000,normal
udp,192.168.145.184,10.33.88.207,58047,80,normal
icmp,172.23.107.129,36.70.109.124,0,0,normal
udp,126.10.136.229,10.199.232.49,16170,31178,normal
udp,172.25.167.29,10.214.126.109,31457,8000,normal
udp,205.70.154.248,172.23.51.146,54165,443,normal
tcp,192.168.126.106,172.31.63.77,7721,587,normal
icmp,172.16.113.192,203.227.146.61,0,0,malicious
tcp,10.92.134.68,172.28.177.117,1700,587,normal
icmp,191.238.27.11,172.18.33.250,0,0,normal
icmp,172.21.166.152,133.94.195.183,0,0,normal
tcp,198.144.121.93,10.158.186.255,55327,17413,malicious
tcp,10.27.88.55,10.27.56.17,62442,8000,normal
udp,192.168.254.58,10.227.178.230,15006,25,normal
tcp,172.25.54.235,192.168.155.88,38840,5001,normal
udp,172.20.99.111,10.232.47.225,35867,47565,normal
udp,10.63.65.165,192.168.187.97,47062,8000,normal
udp,145.113.142.208,192.168.196.66,26653,443,normal
udp,121.90.37.151,36.175.206.212,5695,21909,normal
icmp,172.23.17.238,10.157.248.214,0,0,normal
tcp,10.116.213.9,10.247.239.126,62115,53,normal
tcp,172.22.93.100,10.49.66.246,15425,80,normal
icmp,10.150.219.115,167.52.171.213,0,0,normal
udp,192.168.73.114,172.22.193.102,14402,37667,normal
icmp,87.158.129.241,38.82.210.126,0,0,normal
udp,192.168.8.230,69.191.17.149,37690,67,normal
icmp,10.78.233.161,239.98.58.238,0,0,normal
tcp,13.139.173.20,10.252.157.156,30468,8888,normal
icmp,172.19.25.24,215.97.188.209,0,0,normal
tcp,192.148.139.5,172.16.103.160,5065,993,normal
udp,10.205.15.208,172.19.74.80,1604,8888,normal
icmp,15.231.211.193,172.29.59.55,0,0,normal
icmp,192.168.72.121,172.17.128.138,0,0,normal
udp,172.25.245.202,238.236.137.251,7322,8000,normal
tcp,192.168.160.110,151.45.82.166,40639,1900,malicious
udp,192.168.25.88,172.23.230.251,47531,1,malicious
tcp,26.105.14.195,10.212.125.24,18193,3389,malicious
icmp,192.168.70.240,144.103.206.93,0,0,normal
tcp,192.168.77.119,192.168.107.146,44667,68,normal
tcp,172.24.154.96,172.28.215.241,60056,993,normal
udp,10.179.231.90,10.249.161.1,34858,9000,normal
udp,10.217.235.47,172.30.187.219,58887,993,normal
udp,192.168.147.88,192.168.8.76,5177,993,normal
icmp,212.59.233.239,178.174.241.59,0,0,normal
tcp,10.247.199.236,61.109.66.254,33535,42860,normal
udp,172.18.172.84,172.17.108.247,24473,25,normal
udp,29.148.14.130,192.168.52.88,16031,587,normal
icmp,10.25.83.51,10.50.91.40,0,0,normal
tcp,38.231.176.16,174.154.18.197,60635,62446,normal
icmp,172.27.238.17,251.160.227.31,0,0,malicious
tcp,44.12.143.55,192.168.234.223,40870,53,normal
udp,10.226.21.193,172.27.167.120,25244,587,normal
icmp,192.168.184.71,172.26.37.24,0,0,normal
udp,10.236.92.6,172.17.152.28,60589,993,normal
udp,10.250.178.52,36.192.254.77,55757,161,malicious
icmp,216.212.175.113,201.176.72.33,0,0,normal
tcp,172.31.141.168,25.67.202.33,42153,9000,normal
tcp,10.154.169.251,10.46.114.48,4470,9000,normal
udp,10.18.192.129,10.55.48.103,10348,7702,normal
udp,192.168.210.121,172.30.188.124,57248,9000,normal
tcp,7.195.74.252,182.184.118.35,21915,443,normal
udp,13.61.46.61,162.180.155.212,50172,80,normal
udp,192.168.218.33,10.67.187.207,65519,143,normal
udp,77.113.234.127,172.22.126.51,32403,11441,normal
tcp,86.130.210.209,172.31.37.170,9444,143,normal
tcp,145.45.66.182,34.116.61.52,6386,9001,normal
tcp,10.87.250.17,10.122.98.170,14708,23,malicious
tcp,154.145.212.10,10.191.22.55,1192,53,normal
udp,10.97.155.114,192.168.158.202,46031,5001,normal
tcp,204.73.20.234,192.168.212.242,56483,0,malicious
udp,10.158.87.145,240.117.162.114,52606,5000,normal
icmp,192.168.93.69,10.68.48.76,0,0,normal
tcp,10.25.89.107,172.29.130.182,42470,9000,normal
udp,172.31.133.244,231.232.106.204,50081,11130,normal
udp,172.25.249.155,10.154.179.200,26256,587,normal
udp,163.150.243.236,10.28.149.90,6926,63545,normal
icmp,172.23.104.32,10.156.85.216,0,0,normal
tcp,63.85.14.56,192.168.133.155,26669,5000,normal
tcp,113.79.136.140,192.168.134.123,960,23,malicious
tcp,10.201.253.66,14.82.213.141,38241,21,malicious
udp,10.121.40.220,192.168.169.100,54409,23,malicious
udp,10.91.153.211,192.168.3.191,58577,80,normal
udp,172.26.191.10,172.19.150.143,62969,50943,normal
tcp,172.17.176.1,243.194.132.63,16692,587,normal
tcp,172.16.38.199,172.19.185.251,16608,5000,normal
udp,192.168.26.108,10.253.246.162,12902,54938,normal
udp,10.191.193.125,29.163.95.175,24603,9001,normal
udp,109.113.221.199,43.42.173.83,51824,46298,normal
icmp,172.27.195.215,192.168.99.29,0,0,normal
icmp,10.58.214.151,172.21.17.104,0,0,normal
udp,10.64.104.184,10.114.108.95,27336,2905,normal
udp,192.168.220.248,172.28.0.134,30788,12491,normal
udp,251.108.254.200,172.16.42.143,39321,21075,normal
udp,97.49.181.33,172.20.19.114,3270,587,normal
icmp,10.117.2.188,10.105.71.92,0,0,normal
icmp,194.111.238.51,27.69.191.38,0,0,normal
udp,87.213.165.93,214.50.134.249,5120,9001,normal
udp,229.130.202.165,10.204.195.36,3399,5000,normal
udp,172.24.83.177,187.150.246.76,21858,587,normal
udp,172.23.247.21,148.42.224.154,39388,143,normal
udp,192.168.20.2,248.15.1.137,29657,5001,normal
icmp,192.168.100.163,10.153.43.59,0,0,normal
tcp,172.27.11.51,12.107.130.168,57520,16368,normal
tcp,192.168.106.191,172.31.231.238,40512,587,normal
tcp,172.21.65.88,42.122.165.24,48079,993,normal
tcp,185.220.101.4,251.38.84.34,62575,17412,malicious
tcp,222.186.30.11,192.168.62.203,11388,31951,malicious
udp,10.145.146.200,191.74.161.87,61033,5001,normal
tcp,103.27.202.112,55.67.46.192,20844,27536,malicious
udp,10.192.50.243,192.168.235.213,8458,65497,normal
udp,172.29.210.138,172.27.202.234,20454,443,normal
tcp,192.168.76.114,172.26.200.223,36253,25,normal
udp,115.227.207.192,13.140.241.42,45750,993,normal
tcp,99.183.40.139,232.144.179.35,52671,5001,normal
udp,192.168.250.206,10.56.160.235,18789,5001,normal
tcp,10.213.204.142,172.25.144.156,35403,5001,normal
icmp,192.168.94.123,10.96.149.37,0,0,normal
icmp,10.79.98.227,10.171.125.28,0,0,normal
udp,52.123.189.196,192.168.2.41,45502,68,normal
icmp,10.89.0.143,10.131.65.182,0,0,normal
tcp,10.36.115.52,10.88.72.204,59320,9000,normal
tcp,152.153.5.80,172.17.37.104,58674,5000,normal
tcp,172.26.107.121,10.36.238.85,20068,993,normal
tcp,16.133.13.213,172.28.133.203,61673,9001,normal
udp,227.165.182.77,160.77.157.151,53223,58219,normal
tcp,172.29.209.226,192.168.96.168,51994,53,normal
icmp,172.31.56.90,134.20.23.202,0,0,malicious
udp,172.21.59.215,48.69.164.100,39460,47840,normal
udp,10.243.251.214,10.165.22.15,28605,63125,normal
tcp,192.168.188.147,172.20.237.2,13746,143,normal
tcp,183.77.158.138,172.30.169.183,30807,9000,normal
tcp,141.0.95.96,184.247.29.200,17628,5001,normal
tcp,192.168.190.205,172.28.119.188,19581,0,malicious
icmp,219.157.206.77,188.176.113.27,0,0,normal
icmp,172.23.58.36,10.243.15.62,0,0,normal
tcp,35.123.127.228,10.151.155.201,1085,8888,normal
udp,192.168.184.35,70.150.254.125,59368,9000,normal
icmp,192.168.182.221,247.237.28.23,0,0,normal
udp,115.110.50.201,192.168.37.75,48712,80,normal
tcp,24.167.50.151,10.91.42.121,27628,49267,normal
udp,10.45.150.173,172.23.179.250,49320,25,normal
icmp,10.27.225.113,172.22.224.159,0,0,normal
udp,172.23.132.181,172.22.200.147,13848,8000,normal
icmp,172.30.124.121,10.139.38.174,0,0,normal
icmp,124.175.182.215,47.193.0.144,0,0,normal
tcp,185.87.17.189,239.220.173.53,33214,9001,normal
tcp,52.139.33.204,192.168.31.78,7257,993,normal
icmp,172.24.227.192,172.26.10.96,0,0,normal
icmp,172.20.228.35,172.28.45.108,0,0,normal
tcp,57.47.32.74,10.155.14.22,19628,8888,normal
udp,192.168.38.144,172.25.82.8,26831,14917,normal
tcp,8.1.143.131,197.87.149.254,47442,9000,normal
icmp,117.112.107.0,192.168.183.231,0,0,normal
tcp,89.248.167.131,47.22.56.158,6213,17990,malicious
udp,16.14.112.25,192.168.125.62,22991,123,malicious
tcp,172.27.227.186,192.168.112.208,50602,19,malicious
icmp,198.0.66.120,172.23.101.146,0,0,normal
tcp,192.168.132.83,10.192.102.227,7564,68,normal
tcp,192.168.170.2,4.88.61.65,32794,8443,malicious
tcp,192.168.228.233,10.6.224.149,5466,587,normal
icmp,192.168.224.48,172.28.229.141,0,0,normal
tcp,10.187.166.93,138.166.90.30,6695,5000,normal
icmp,172.28.230.180,172.24.193.192,0,0,normal
tcp,141.1.163.35,192.168.42.239,1413,445,malicious
tcp,78.132.21.3,172.21.96.45,16086,21053,normal
tcp,10.217.16.238,10.144.225.200,57904,5000,normal
udp,172.25.114.207,10.66.43.192,60572,53,normal
icmp,10.224.226.164,10.118.69.116,0,0,normal
udp,10.47.178.163,192.168.89.200,6818,11345,normal
tcp,172.20.112.77,234.96.189.74,57296,67,normal
tcp,172.21.189.159,194.168.212.219,33956,22,malicious
tcp,101.86.20.15,172.30.218.30,44500,9000,normal
tcp,10.237.17.37,192.168.236.204,34890,63387,normal
icmp,192.168.74.132,109.116.41.228,0,0,normal
tcp,178.77.218.245,192.168.26.129,31842,143,normal
icmp,192.168.167.226,10.47.68.143,0,0,normal
udp,34.106.2.178,103.48.183.47,7337,137,malicious
udp,124.13.69.146,172.20.196.71,28178,5000,normal
udp,172.21.43.237,192.168.220.153,44586,25,normal
udp,172.17.141.26,172.23.50.234,39542,5001,normal
icmp,172.29.215.36,192.168.104.18,0,0,normal
tcp,172.21.233.87,188.167.170.85,29015,0,malicious
icmp,10.158.121.210,10.231.86.18,0,0,normal
udp,192.168.110.228,209.214.199.165,54166,19360,normal
udp,185.220.101.4,2.3.220.193,52961,32977,malicious
tcp,192.168.40.123,192.168.41.162,38171,5001,normal
udp,172.16.229.1,192.168.206.24,28026,68,normal
udp,10.193.51.117,192.168.141.193,37707,9000,normal
icmp,172.24.250.106,129.107.129.179,0,0,normal
tcp,172.22.199.63,10.52.35.238,52069,3389,malicious
udp,140.77.159.184,172.27.227.163,3782,587,normal
tcp,192.168.85.246,192.168.156.30,25587,9000,normal
icmp,172.22.78.211,86.246.32.59,0,0,normal
tcp,126.118.185.61,10.56.173.135,29679,80,normal
tcp,192.168.35.194,59.72.218.129,2297,68,normal
icmp,24.50.106.5,192.168.8.123,0,0,normal
udp,172.17.77.107,10.64.193.135,12965,143,normal
icmp,172.23.107.40,172.23.53.158,0,0,normal
icmp,172.22.31.221,10.152.196.80,0,0,normal
udp,172.29.153.117,16.49.99.40,2408,25,normal
tcp,69.228.115.61,31.165.253.161,58907,22982,normal
tcp,192.168.129.6,10.170.215.62,36876,68,normal
tcp,10.64.93.173,172.30.190.133,58784,5000,normal
udp,45.83.64.1,192.168.90.135,48809,4224,malicious
tcp,192.168.165.155,172.20.157.78,7281,5001,normal
tcp,86.141.115.36,30.152.71.120,39225,1900,malicious
icmp,192.168.226.90,172.18.182.106,0,0,normal
tcp,10.215.149.198,172.16.47.210,8342,52086,normal
udp,210.79.159.56,10.63.5.109,20914,9001,normal
tcp,10.255.133.182,10.33.219.212,43857,5000,normal
icmp,183.84.158.30,192.168.242.228,0,0,malicious
tcp,10.191.32.4,172.30.190.17,55649,25,normal
tcp,10.217.95.242,172.16.127.146,56777,25,normal
udp,175.235.21.159,192.168.56.104,18230,80,normal
udp,212.43.16.238,74.125.238.63,59662,9000,normal
udp,45.83.64.1,192.168.150.75,31570,14839,malicious
tcp,222.186.30.11,172.28.118.96,37340,39267,malicious
icmp,157.163.212.93,10.250.183.33,0,0,normal
tcp,104.99.91.67,172.26.197.100,41850,53,normal
icmp,10.12.172.40,172.22.32.108,0,0,normal
tcp,181.0.26.103,10.117.110.171,22773,0,malicious
udp,192.168.5.22,192.168.1.99,48669,5000,normal
tcp,172.21.198.235,159.122.201.143,53026,3389,malicious
udp,254.114.64.231,10.111.16.12,52758,18886,normal
udp,154.170.172.81,179.114.31.213,58960,49419,normal
udp,172.21.93.120,10.142.26.76,23426,67,normal
udp,111.183.223.142,172.30.242.97,41542,26095,normal
udp,192.168.152.143,172.31.40.65,38913,587,normal
udp,192.168.162.110,10.90.240.50,37589,8000,normal
udp,68.122.134.45,10.209.56.147,31802,5000,normal
udp,172.23.182.36,192.168.208.170,63035,64571,normal
icmp,2.55.91.216,172.20.115.155,0,0,normal
tcp,144.202.137.226,192.168.233.18,53897,587,normal
udp,192.168.169.13,10.175.251.224,15078,8000,normal
tcp,192.168.121.176,172.20.119.172,34979,161,malicious
icmp,192.168.176.77,161.229.166.95,0,0,normal
udp,172.21.144.65,192.168.65.198,51808,8888,normal
tcp,192.168.196.11,172.16.77.57,8193,53,normal
tcp,10.124.174.47,10.163.162.177,27921,9000,normal
tcp,222.60.152.95,192.168.168.147,65499,5000,normal
icmp,178.61.161.229,10.81.85.108,0,0,normal
udp,172.18.137.121,118.255.133.65,65454,67,normal
tcp,192.168.14.37,11.224.43.142,16148,68,normal
udp,10.25.132.219,135.46.169.166,36822,80,normal
udp,247.201.101.198,172.28.250.166,60326,0,malicious
udp,192.168.156.220,192.168.68.108,58327,20540,normal
icmp,10.252.194.131,251.236.69.158,0,0,malicious
udp,193.145.133.1,124.43.114.12,46815,445,malicious
tcp,29.195.30.224,94.206.147.73,17521,9000,normal
icmp,108.246.92.56,10.81.236.32,0,0,normal
tcp,192.168.17.90,172.20.42.79,49238,68,normal
icmp,172.22.204.152,36.64.99.184,0,0,normal
tcp,7.71.51.13,172.24.180.123,43899,9001,normal
icmp,10.245.156.95,172.28.235.63,0,0,normal
icmp,182.226.126.212,10.18.170.129,0,0,normal
tcp,192.168.183.155,172.16.0.88,3838,25463,normal
icmp,192.168.207.247,68.233.127.26,0,0,normal
icmp,172.27.162.75,10.196.111.11,0,0,normal
tcp,10.227.61.125,30.39.134.81,50286,1433,malicious
tcp,192.168.137.126,192.168.166.35,17550,135,malicious
udp,211.241.101.133,172.30.124.101,31656,80,normal
icmp,195.8.167.116,106.247.0.139,0,0,normal
udp,204.36.210.225,178.252.58.114,2364,443,normal
udp,172.24.68.243,172.21.216.4,52799,9000,normal
icmp,208.178.249.124,10.231.115.18,0,0,normal
udp,10.90.59.187,192.168.237.8,36764,68,normal
tcp,192.168.19.10,138.182.238.235,5981,25,normal
tcp,167.155.98.197,2.164.190.89,63211,21,malicious
udp,10.102.81.95,192.168.181.199,7738,80,normal
icmp,86.217.179.89,10.149.198.58,0,0,malicious
tcp,172.25.223.209,172.19.97.115,13369,5000,normal
icmp,193.89.144.42,172.21.28.190,0,0,normal
udp,171.165.246.120,0.112.234.149,41685,9000,normal
icmp,245.4.215.179,192.168.232.149,0,0,normal
tcp,192.168.82.83,10.49.65.101,15906,0,malicious
udp,192.168.223.219,192.168.37.28,42522,733,normal
tcp,3.59.179.111,41.61.34.6,47029,443,normal
udp,109.221.25.142,192.168.105.181,11750,1900,malicious
icmp,192.168.236.163,10.84.90.114,0,0,malicious
tcp,89.168.142.138,172.30.171.52,15292,61648,normal
tcp,192.168.81.26,10.151.14.22,15794,23,malicious
icmp,172.18.8.236,53.170.244.60,0,0,normal
tcp,152.95.13.177,54.69.108.8,27071,161,malicious
tcp,172.31.45.153,192.168.83.235,40277,993,normal
icmp,153.157.150.102,45.112.133.71,0,0,normal
udp,86.153.35.131,10.244.159.199,9122,68,normal
tcp,172.21.241.158,20.81.46.19,7885,8888,normal
udp,172.21.101.84,192.168.144.14,14959,53,normal
tcp,10.207.168.116,192.168.87.36,56413,587,normal
udp,172.26.75.204,159.237.112.60,47177,143,normal
udp,172.26.169.158,10.14.166.40,18443,48577,normal
icmp,192.168.68.35,134.32.165.77,0,0,malicious
tcp,172.30.215.215,10.104.194.118,16363,993,normal
icmp,219.111.103.61,62.44.195.154,0,0,normal
tcp,172.28.17.48,172.22.201.18,11617,39682,normal
udp,185.220.101.4,10.9.126.219,43552,18640,malicious
udp,10.150.237.150,153.159.227.31,40875,5106,normal
udp,222.186.30.11,10.48.23.250,10921,32064,malicious
icmp,10.25.129.229,172.22.226.105,0,0,normal
icmp,192.168.228.116,23.12.245.185,0,0,normal
tcp,192.168.200.224,155.151.134.87,55603,1,malicious
icmp,192.168.39.20,172.24.63.169,0,0,normal
udp,10.60.68.58,192.168.10.128,10285,51767,normal
udp,8.185.157.109,172.30.228.233,41313,593,malicious
icmp,192.168.43.130,172.23.147.41,0,0,normal
tcp,172.17.210.195,172.20.10.173,49019,161,malicious
udp,1.97.157.121,192.168.170.236,10439,161,malicious
tcp,132.114.186.3,10.38.213.167,44810,993,normal
udp,10.213.89.1,208.17.118.165,46555,52604,normal
tcp,172.22.97.67,27.198.38.130,63768,20289,normal
tcp,172.27.93.34,91.42.159.139,45930,143,normal
tcp,97.164.170.121,192.168.165.250,13661,68,normal
tcp,172.17.72.132,201.221.120.94,61111,28893,normal
icmp,10.65.131.129,255.167.80.129,0,0,normal
udp,172.30.151.146,42.133.84.192,46886,42113,normal
icmp,10.206.130.43,172.29.254.117,0,0,normal
tcp,172.27.68.117,172.23.164.106,64392,56902,normal
udp,192.168.112.169,192.168.14.173,18511,8888,normal
icmp,192.168.65.189,172.26.16.151,0,0,normal
icmp,74.148.124.171,240.209.60.180,0,0,normal
udp,10.72.145.227,172.29.175.176,27958,993,normal
tcp,192.168.190.71,10.255.133.182,26781,50752,normal
tcp,192.168.130.180,59.203.33.65,24869,0,malicious
icmp,192.168.174.239,192.168.45.188,0,0,normal
udp,10.144.203.72,70.104.200.244,54094,8888,normal
icmp,192.168.59.64,192.168.200.29,0,0,normal
tcp,10.137.250.141,233.211.5.225,36896,5001,normal
icmp,29.157.189.62,172.23.149.168,0,0,normal
udp,192.168.48.200,142.31.170.96,36594,53,normal
icmp,10.98.52.231,88.91.105.177,0,0,normal
icmp,10.249.75.177,192.168.167.219,0,0,normal
udp,192.168.56.85,10.69.86.93,3916,5001,normal
icmp,241.255.152.70,10.239.16.89,0,0,normal
tcp,58.140.88.54,10.78.189.82,61104,593,malicious
tcp,192.168.215.238,172.31.18.1,26329,69,malicious
tcp,10.160.89.147,250.160.164.56,2637,25652,normal
tcp,65.106.254.53,172.20.86.51,46930,9000,normal
tcp,84.52.129.70,192.168.169.28,60817,38867,normal
tcp,63.125.31.40,177.245.180.124,13261,443,normal
udp,192.168.7.111,10.128.181.180,39686,9001,normal
tcp,236.144.188.107,192.168.15.246,16742,7040,normal
icmp,120.128.58.66,192.168.173.150,0,0,malicious
icmp,192.168.65.95,10.56.179.40,0,0,normal
tcp,43.218.23.209,172.23.125.59,38749,1326,normal
icmp,10.193.120.221,192.168.121.60,0,0,normal
tcp,192.168.136.187,10.64.50.14,42502,9000,normal
tcp,10.23.121.224,192.168.78.168,54498,8000,normal
tcp,192.168.69.62,168.154.119.93,64764,587,normal
tcp,227.149.170.11,122.117.46.184,16346,4430,normal
udp,111.106.160.201,158.235.56.28,37497,80,normal
tcp,66.66.195.58,10.66.55.196,3310,20612,normal
icmp,192.168.18.206,192.168.65.25,0,0,normal
tcp,10.25.143.183,82.12.81.229,22198,5001,normal
udp,172.17.51.129,192.168.121.146,36841,59763,normal
tcp,112.156.90.39,10.97.8.86,47255,5000,normal
udp,192.168.55.100,172.30.21.43,52684,27402,normal
icmp,192.168.62.53,147.168.110.53,0,0,normal
udp,10.12.110.162,10.62.38.141,52920,38553,normal
udp,10.136.11.9,192.168.82.137,7902,8888,normal
icmp,10.55.213.11,125.187.68.197,0,0,normal
icmp,10.152.40.65,82.154.94.24,0,0,normal
udp,172.29.71.113,10.13.223.153,2251,9000,normal
icmp,186.167.184.74,192.168.206.183,0,0,normal
udp,192.168.56.194,229.107.14.45,55114,25155,normal
udp,10.119.74.82,157.88.43.195,35606,9001,normal
udp,14.88.17.201,192.168.145.47,55604,68,normal
tcp,87.206.239.149,95.132.88.1,46331,68,normal
tcp,192.168.169.79,51.249.188.111,15987,9001,normal
icmp,172.27.137.163,172.24.94.48,0,0,normal
tcp,172.31.74.62,172.16.2.111,65281,993,normal
udp,10.252.234.188,149.94.121.50,15211,67,normal
tcp,138.30.25.69,10.158.207.65,19455,25,normal
tcp,192.168.252.156,134.164.2.154,47375,22,malicious
udp,172.27.229.198,172.28.230.97,52957,21368,normal
tcp,192.168.3.145,111.224.179.60,18780,5000,normal
udp,172.22.241.47,125.134.102.250,7071,1900,malicious
tcp,46.21.15.150,172.19.167.204,11069,9000,normal
udp,192.168.100.7,158.104.89.54,14871,9000,normal
tcp,103.27.202.112,10.235.156.78,35583,515,malicious
udp,10.123.41.10,84.97.134.34,38488,58463,normal
tcp,10.142.64.51,10.160.23.108,12163,53,normal
tcp,91.109.209.92,172.23.173.215,1318,137,malicious
tcp,10.74.83.19,121.94.241.158,60745,8888,normal
udp,192.168.126.51,172.21.109.148,19377,25,normal
udp,192.168.211.186,10.177.108.204,19610,5000,normal
icmp,10.155.137.140,192.168.50.41,0,0,normal
icmp,241.3.149.160,70.139.77.153,0,0,malicious
udp,192.168.187.59,172.22.243.93,19639,39649,normal
tcp,45.83.64.1,24.35.117.117,45784,50299,malicious
tcp,172.26.167.136,52.81.79.140,4306,5001,normal
tcp,45.83.64.1,10.30.68.93,15948,26723,malicious
tcp,10.97.207.4,75.146.101.204,24093,68,normal
tcp,192.168.206.244,172.26.142.73,21571,68,normal
icmp,10.168.146.207,192.168.62.248,0,0,normal
udp,172.24.144.249,10.70.91.197,38253,9556,normal
tcp,222.186.30.11,215.131.181.242,61045,34108,malicious
icmp,10.91.83.192,192.168.73.48,0,0,normal
tcp,172.21.92.27,10.27.114.81,6680,9001,normal
icmp,146.79.50.224,10.67.222.115,0,0,normal
